Reading 5 bytes:
Reading at malicious_x = 0xffffffffffffdf88... miss : mix_i=13 , time=1220
miss : mix_i=140 , time=173
miss : mix_i=51 , time=173
miss : mix_i=218 , time=173
miss : mix_i=129 , time=173
miss : mix_i=40 , time=173
miss : mix_i=207 , time=173
miss : mix_i=118 , time=173
miss : mix_i=29 , time=170
miss : mix_i=196 , time=173
miss : mix_i=107 , time=173
miss : mix_i=18 , time=1221
miss : mix_i=185 , time=528
miss : mix_i=96 , time=173
miss : mix_i=7 , time=173
miss : mix_i=174 , time=173
miss : mix_i=85 , time=173
miss : mix_i=252 , time=173
miss : mix_i=163 , time=173
miss : mix_i=74 , time=173
miss : mix_i=241 , time=173
miss : mix_i=152 , time=173
miss : mix_i=63 , time=173
miss : mix_i=230 , time=173
miss : mix_i=141 , time=173
miss : mix_i=52 , time=173
miss : mix_i=219 , time=173
miss : mix_i=130 , time=173
miss : mix_i=41 , time=173
miss : mix_i=208 , time=173
